community,building_type,_date,average_price
Agincourt North,Att/Row/Twnhouse,2022-01-01,1006430.3660296357
Agincourt North,Att/Row/Twnhouse,2022-02-01,1149620.6107651703
Agincourt North,Att/Row/Twnhouse,2022-03-01,1111984.971272173
Agincourt North,Att/Row/Twnhouse,2022-04-01,1125390.8699519576
Agincourt North,Att/Row/Twnhouse,2023-01-01,1189992.5473324046
Agincourt North,Att/Row/Twnhouse,2023-02-01,1172451.8126927267
Agincourt North,Att/Row/Twnhouse,2023-03-01,1188643.511194756
Agincourt North,Condo Apt,2022-01-01,577546.7631264258
Agincourt North,Condo Apt,2022-02-01,613003.1521001579
Agincourt North,Condo Apt,2022-03-01,636137.0215109619
Agincourt North,Condo Apt,2022-04-01,666126.8287690794
Agincourt North,Condo Apt,2023-01-01,719915.3962954349
Agincourt North,Condo Apt,2023-02-01,755946.642147044
Agincourt North,Condo Apt,2023-03-01,784821.9204322719
Agincourt North,Detached,2022-01-01,1424170.0945360493
Agincourt North,Detached,2022-02-01,1601207.9617808016
Agincourt North,Detached,2022-03-01,1628083.504298768
Agincourt North,Detached,2022-04-01,1616403.9461497455
Agincourt North,Detached,2023-01-01,1662733.212487588
Agincourt North,Detached,2023-02-01,1574209.484468946
Agincourt North,Detached,2023-03-01,1450535.1126828778
Agincourt North,Semi-Detached,2022-01-01,1230507.7195501835
Agincourt North,Semi-Detached,2022-02-01,1314473.335592957
Agincourt North,Semi-Detached,2022-03-01,1326444.5368404444
Agincourt North,Semi-Detached,2022-04-01,1343479.126787506
Agincourt North,Semi-Detached,2023-01-01,1429405.0417684226
Agincourt North,Semi-Detached,2023-02-01,1390666.608895135
Agincourt North,Semi-Detached,2023-03-01,1274744.2942339857
Agincourt South-Malvern West,Condo Apt,2022-01-01,580250.379255719
Agincourt South-Malvern West,Condo Apt,2022-02-01,628106.415852562
Agincourt South-Malvern West,Condo Apt,2022-03-01,656520.3495782098
Agincourt South-Malvern West,Condo Apt,2022-04-01,692042.5179549124
Agincourt South-Malvern West,Condo Apt,2023-01-01,717406.4604962219
Agincourt South-Malvern West,Condo Apt,2023-02-01,769925.9376249955
Agincourt South-Malvern West,Condo Apt,2023-03-01,797681.4118603433
Agincourt South-Malvern West,Detached,2022-01-01,1784420.9572176985
Agincourt South-Malvern West,Detached,2022-02-01,1988728.7300757016
Agincourt South-Malvern West,Detached,2022-03-01,2015482.3485949093
Agincourt South-Malvern West,Detached,2022-04-01,1995925.693741851
Agincourt South-Malvern West,Detached,2023-01-01,2055428.5396092937
Agincourt South-Malvern West,Detached,2023-02-01,1991261.3598019013
Agincourt South-Malvern West,Detached,2023-03-01,1804551.452761091
Agincourt South-Malvern West,Semi-Detached,2022-01-01,980591.5284102024
Agincourt South-Malvern West,Semi-Detached,2022-02-01,1041823.1733826918
Agincourt South-Malvern West,Semi-Detached,2022-03-01,1012511.0371430804
Agincourt South-Malvern West,Semi-Detached,2022-04-01,977322.451082982
Agincourt South-Malvern West,Semi-Detached,2023-01-01,1001215.2729997374
Agincourt South-Malvern West,Semi-Detached,2023-02-01,1038442.4178251164
Agincourt South-Malvern West,Semi-Detached,2023-03-01,1065515.8226406316
Alderwood,Detached,2022-01-01,1563056.8148449445
Alderwood,Detached,2022-02-01,1540104.3516669923
Alderwood,Detached,2022-03-01,1687989.1451236743
Alderwood,Detached,2022-04-01,1763445.231327752
Alderwood,Detached,2023-01-01,1785296.487775309
Alderwood,Detached,2023-02-01,1801421.983831567
Alderwood,Detached,2023-03-01,1850350.2498785355
Alderwood,Semi-Detached,2022-01-01,1494896.4221814696
Alderwood,Semi-Detached,2022-02-01,1477087.9402922352
Alderwood,Semi-Detached,2022-03-01,1661862.8024199745
Alderwood,Semi-Detached,2022-04-01,1644168.368923026
Alderwood,Semi-Detached,2023-01-01,1797538.8817426297
Alderwood,Semi-Detached,2023-02-01,1715771.9995305624
Alderwood,Semi-Detached,2023-03-01,1740504.2750207991
Annex,Att/Row/Twnhouse,2022-01-01,2465395.920843293
Annex,Att/Row/Twnhouse,2022-02-01,2646741.84504573
Annex,Att/Row/Twnhouse,2022-03-01,2336902.848579565
Annex,Att/Row/Twnhouse,2022-04-01,3502258.192633243
Annex,Att/Row/Twnhouse,2023-01-01,3534392.053747041
Annex,Att/Row/Twnhouse,2023-02-01,4028916.190423457
Annex,Att/Row/Twnhouse,2023-03-01,3905229.161683181
Annex,Condo Apt,2022-01-01,1494680.0305387226
Annex,Condo Apt,2022-02-01,1346897.6045184734
Annex,Condo Apt,2022-03-01,1266624.1781569496
